Country Name;Country Code;Series Name;Series Code;1960 [YR1960];1961 [YR1961];1962 [YR1962];1963 [YR1963];1964 [YR1964];1965 [YR1965];1966 [YR1966];1967 [YR1967];1968 [YR1968];1969 [YR1969];1970 [YR1970];1971 [YR1971];1972 [YR1972];1973 [YR1973];1974 [YR1974];1975 [YR1975];1976 [YR1976];1977 [YR1977];1978 [YR1978];1979 [YR1979];1980 [YR1980];1981 [YR1981];1982 [YR1982];1983 [YR1983];1984 [YR1984];1985 [YR1985];1986 [YR1986];1987 [YR1987];1988 [YR1988];1989 [YR1989];1990 [YR1990];1991 [YR1991];1992 [YR1992];1993 [YR1993];1994 [YR1994];1995 [YR1995];1996 [YR1996];1997 [YR1997];1998 [YR1998];1999 [YR1999];2000 [YR2000];2001 [YR2001];2002 [YR2002];2003 [YR2003];2004 [YR2004];2005 [YR2005];2006 [YR2006];2007 [YR2007];2008 [YR2008];2009 [YR2009];2010 [YR2010];2011 [YR2011];2012 [YR2012];2013 [YR2013];2014 [YR2014];2015 [YR2015];2016 [YR2016];2017 [YR2017];2018 [YR2018];2019 [YR2019];2020 [YR2020];2021 [YR2021];2022 [YR2022]
Afghanistan;AFG;Access to electricity (% of population);EG.ELC.ACCS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;4.446890831;9.294527054;14.13361645;18.9711647;23.81418228;28.66967201;33.54441833;38.44000244;42.4;48.27900696;42.7;43.22201891;69.1;68.0408783;89.5;71.5;97.7;97.7;93.43087769;97.7;97.7;97.7;..
Afghanistan;AFG;Access to electricity, rural (% of rural population);EG.ELC.ACCS.RU.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;2.130410093;7.84279549;15.35564288;19.26482076;25.03639816;27.95425084;36.69450436;30.21880181;29.57288091;60.8491566;60.23919772;86.50051163;64.57335438;97.09935983;97.09197325;91.60606002;97.07562695;97.06671259;97.05720222;..
Afghanistan;AFG;CO2 emissions (metric tons per capita);EN.ATM.CO2E.PC;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;0.191389345;0.180673786;0.126516979;0.109105697;0.096637746;0.088781157;0.082266518;0.075558698;0.071269702;0.058246842;0.055166607;0.055292719;0.066810138;0.073004968;0.054866759;0.080361134;0.089756909;0.109940042;0.165573355;0.239506901;0.304230216;0.408965291;0.335061035;0.298087813;0.283692396;0.297971775;0.268358773;0.281195816;0.299082634;0.297563651;0.223478872;..;..
Afghanistan;AFG;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;8.832277813;1.414117981;11.22971482;5.357403251;13.82631955;3.924983822;21.39052839;14.36244147;0.426354785;12.75228709;5.600744658;2.724543364;1.45131466;2.260314201;2.647003202;1.189228128;3.911603419;-2.351100673;-20.73883937;..
Afghanistan;AFG;Hospital beds (per 1,000 people);SH.MED.BEDS.ZS;0.170626998;..;..;..;..;..;..;..;..;..;0.199000001;..;..;..;..;..;..;..;..;..;..;0.275599986;..;..;..;..;..;0.309100002;..;..;0.249799997;..;..;..;..;..;..;..;..;..;0.3;0.39;0.39;0.39;0.39;0.42;0.42;0.42;0.42;0.42;0.43;0.44;0.53;0.53;0.5;0.5;0.5;0.39;..;..;..;..;..
Afghanistan;AFG;Labor force, female (% of total labor force);SL.TLF.TOTL.FE.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;16.86604478;16.95875332;17.03974313;17.06425264;17.07972773;17.15403046;16.99009425;16.82763312;16.70634705;16.61802662;16.5426288;16.65083576;16.79825418;16.95282248;17.09469978;17.22180112;17.01431389;16.82262065;16.66303275;16.56914655;16.57305912;16.884984;17.2789832;18.23056253;19.21842401;20.24479059;21.3078664;22.41811174;22.75872586;23.09936405;19.79348615;..;..
Albania;ALB;Access to electricity (% of population);EG.ELC.ACCS.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;100;100;100;100;100;100;100;100;100;100;99.4308548;99.42198944;99.40457916;99.38562775;99.37213898;99.37112427;99.38936615;99.42845154;100;99.55445099;99.64420319;99.71864319;99.9;99.89031219;99.95;99.98;99.89;99.89;100;100;100;100;..
Albania;ALB;Access to electricity, rural (% of rural population);EG.ELC.ACCS.RU.ZS;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;99.9;99.84233706;99.89709497;99.95301414;99.73544337;99.72917743;100;100;100;100;..
Albania;ALB;CO2 emissions (metric tons per capita);EN.ATM.CO2E.PC;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.844035463;1.26105443;0.689643703;0.644008419;0.649938146;0.612055271;0.62120565;0.469830997;0.576804442;0.96029694;1.031567545;1.056868354;1.233001531;1.361158778;1.427944204;1.360092207;1.363988602;1.433796507;1.428249586;1.492116704;1.64276193;1.768108509;1.565921402;1.656389503;1.795712442;1.665218525;1.590069333;1.880557113;1.85464154;1.749462457;1.544550115;..;..
Albania;ALB;GDP growth (annual %);NY.GDP.MKTP.KD.ZG;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;5.745635292;2.948596801;1.104938262;-1.251596644;1.780643959;5.637243179;-0.787842655;-1.420039656;9.836548972;-9.57564017;-28.00214166;-7.187110915;9.559411685;8.302866597;13.32233332;9.099999436;-10.91998408;8.829423758;12.89080364;6.946216592;8.293312631;4.53652416;5.528637465;5.514667911;5.526424247;5.902659036;5.983259519;7.50004143;3.35428935;3.706938153;2.545406145;1.4172428;1.002017541;1.774448853;2.218726375;3.314980684;3.80259872;4.019345617;2.087711996;-3.302082039;8.908527818;4.856401652
